Total score,1. What is your age?,1. What is your age? [Score],1. What is your age? [Feedback],2. What is your gender?,2. What is your gender? [Score],2. What is your gender? [Feedback],3. What is your highest education?,3. What is your highest education? [Score],3. What is your highest education? [Feedback],4. What is your marital status?,4. What is your marital status? [Score],4. What is your marital status? [Feedback],5. What is your monthly income? (Monthly allowance if you are not working) (in million VND),5. What is your monthly income? (Monthly allowance if you are not working) (in million VND) [Score],5. What is your monthly income? (Monthly allowance if you are not working) (in million VND) [Feedback],6. What is the total monthly amount you spend? (in million VND),6. What is the total monthly amount you spend? (in million VND) [Score],6. What is the total monthly amount you spend? (in million VND) [Feedback]
0.00 / 0,25,-- / 0,,Female,-- / 0,,Undergraduate,-- / 0,,Married,-- / 0,,16,-- / 0,,8,-- / 0,
0.00 / 0,22,-- / 0,,Male,-- / 0,,High school,-- / 0,,Single,-- / 0,,5,-- / 0,,4,-- / 0,
0.00 / 0,24,-- / 0,,Female,-- / 0,,High school,-- / 0,,Together,-- / 0,,7,-- / 0,,5,-- / 0,
0.00 / 0,22,-- / 0,,Male,-- / 0,,High school,-- / 0,,Single,-- / 0,,6,-- / 0,,5,-- / 0,
0.00 / 0,22,-- / 0,,Male,-- / 0,,High school,-- / 0,,Married,-- / 0,,6,-- / 0,,5,-- / 0,
0.00 / 0,16,-- / 0,,Male,-- / 0,,High school,-- / 0,,Single,-- / 0,,3,-- / 0,,2,-- / 0,
0.00 / 0,24,-- / 0,,Male,-- / 0,,Master,-- / 0,,Together,-- / 0,,20,-- / 0,,10,-- / 0,
0.00 / 0,40,-- / 0,,Male,-- / 0,,Undergraduate,-- / 0,,Married,-- / 0,,100,-- / 0,,50,-- / 0,
0.00 / 0,32,-- / 0,,Male,-- / 0,,Master,-- / 0,,Married,-- / 0,,50,-- / 0,,40,-- / 0,
0.00 / 0,22,-- / 0,,Female,-- / 0,,High school,-- / 0,,Single,-- / 0,,5,-- / 0,,5,-- / 0,
0.00 / 0,30,-- / 0,,Male,-- / 0,,Undergraduate,-- / 0,,Married,-- / 0,,42,-- / 0,,30,-- / 0,
0.00 / 0,25,-- / 0,,Male,-- / 0,,Master,-- / 0,,Together,-- / 0,,30,-- / 0,,20,-- / 0,
0.00 / 0,22,-- / 0,,Female,-- / 0,,Undergraduate,-- / 0,,Single,-- / 0,,17,-- / 0,,10,-- / 0,
0.00 / 0,22,-- / 0,,Male,-- / 0,,High school,-- / 0,,Single,-- / 0,,6,-- / 0,,2,-- / 0,
